ID,Name,Designation,Department,Location,Date_of_Joining,Gender,Salary,Phone_No,GP,Work_From,Last Logout,
222,DAVFU,MANAGER,Application Development,Banglore,21/04/15,Female,1330323,9898980221,1.00,,01-07-2020 21:01:38,
223,SZLZP,TEAM LEAD,Application Development,Delhi,07/07/15,Male,1433643,9898980222,4.00,Work From Home,12-12-2021 23:11:00,
224,CSCRB,SDE,Testing,Pune,12/01/10,Female,1863529,9898980223,5.00,Work From Home,11-04-2011 13:04:53,
225,BBEGN,MANAGER,Testing,Pune,30/11/20,Female,1738635,9898980224,2.00,,03-12-2014 20:18:54,
226,XJXLQ,TEAM LEAD,Operations,Gurgaon,19/09/14,Female,1599798,9898980225,3.00,Work From Home,05-31-2021 14:30:14,
227,BAMOA,TEAM LEAD,Testing,Banglore,26/09/19,Female,1978782,9898980226,1.00,,08-21-2021 05:06:12,
228,KHQZO,SDE,Application Development,Delhi,18/03/11,Male,1973071,9898980227,1.00,Work From Home,11-11-2012 23:57:56,
229,SFDDK,QA,Testing,Pune,13/11/21,Male,1939668,9898980228,1.00,,08-22-2013 00:47:52,
230,TJSVW,SDE,Development,Pune,10/04/21,Female,1256875,9898980229,2.00,Work From Office,07-03-2022 16:35:37,
231,ZFMXX,SDE,Testing,Pune,30/05/22,Female,1350326,9898980230,4.00,Work From Home,09-23-2016 21:30:35,
232,SCWEC,SDE,Testing,Banglore,14/03/18,Male,1542199,9898980231,1.00,Work From Home,03-02-2018 06:45:48,
233,QRLMW,SDE,Operations,Pune,13/08/21,Female,1753784,9898980232,1.00,,09-03-2020 15:44:37,
234,KGTDM,MANAGER,Testing,Pune,01/09/17,Female,1528992,9898980233,5.00,Work From Home,01-11-2011 04:40:32,
235,AFKCT,MANAGER,Development,Gurgaon,17/08/21,Female,1962506,9898980234,1.00,Work From Home,11-01-2020 19:39:03,
236,NBYDC,QA,Testing,Pune,13/11/14,Female,1566438,9898980235,2.00,Work From Home,08-25-2011 09:10:26,
237,KAQMR,TEAM LEAD,Development,Delhi,17/03/20,Female,1634461,9898980236,1.00,Work From Home,05-24-2012 19:23:45,
238,WBUTH,QA,Application Development,Banglore,04/07/15,Male,1868219,9898980237,5.00,,06-26-2020 13:12:08,
239,CFHPK,QA,Development,Delhi,20/09/22,Male,1223524,9898980238,1.00,Work From Home,12-17-2022 08:22:02,
240,FWZSR,TEAM LEAD,Operations,Delhi,02/11/16,Male,1491184,9898980239,2.00,,04-15-2012 16:53:55,
241,NLIKQ,SDE,Operations,Gurgaon,30/07/19,Female,1559332,9898980240,5.00,Work From Home,11-15-2020 11:44:17,
242,GQDEZ,SDET,Operations,Gurgaon,05/02/22,Female,1962515,9898980241,3.00,Work From Office,02-02-2011 00:53:46,
243,RFHWE,QA,Operations,Delhi,06/07/22,Female,1534522,9898980242,1.00,Work From Home,07-14-2011 20:14:49,
244,UTDUX,TEAM LEAD,Testing,Pune,23/09/13,Male,1250623,9898980243,2.00,,04-11-2013 16:57:11,
245,FETUF,TEAM LEAD,Application Development,Banglore,02/10/22,Male,1768771,9898980244,2.00,Work From Home,02-15-2018 03:25:28,
246,XKPVW,SDET,Application Development,Gurgaon,02/04/13,Female,1829656,9898980245,2.00,Work From Office,09-08-2015 21:59:34,
247,WLEYA,SDET,Operations,Texas,10/03/15,Male,1893744,9898980246,1.00,,08-21-2015 11:40:37,
248,FFUKP,SDE,Operations,Texas,27/07/13,Male,1568540,9898980247,3.00,,06-17-2010 18:01:26,
249,CELOB,SDE,Testing,Banglore,20/09/15,Female,1526164,9898980248,1.00,,11-07-2011 04:40:54,
250,KJUDR,SDE,Operations,Delhi,28/02/15,Male,1197610,9898980249,2.00,Work From Office,09-04-2016 04:35:26,
251,JKPEH,MANAGER,Development,Banglore,07/08/15,Male,1499136,9898980250,2.00,Work From Office,11-08-2013 01:35:39,
252,UYNGE,SDET,Operations,Pune,07/10/13,Male,1531451,9898980251,5.00,,03-02-2012 20:08:45,
253,WJNHJ,SDE,Testing,Pune,02/06/17,Male,1075094,9898980252,3.00,,07-06-2011 02:06:29,
254,AQFBW,SDE,Testing,Texas,12/09/11,Female,1370781,9898980253,4.00,,03-04-2018 11:07:21,
255,TWRKL,QA,Testing,Banglore,09/09/14,Female,1265906,9898980254,4.00,,06-05-2011 18:36:54,
256,LTFGW,SDET,Operations,Texas,04/02/14,Male,1471005,9898980255,3.00,Work From Home,07-12-2017 05:40:31,
257,AFRDK,SDET,Testing,Banglore,12/06/17,Female,1885401,9898980256,4.00,,05-23-2011 18:10:59,
258,JOMMC,MANAGER,Testing,Banglore,03/10/16,Male,1737892,9898980257,5.00,Work From Home,02-20-2014 22:05:47,
259,PFMSM,MANAGER,Testing,Pune,07/07/20,Male,1282292,9898980258,5.00,Work From Office,04-02-2019 03:32:16,
260,WYJXE,SDE,Operations,Delhi,20/04/21,Female,1198736,9898980259,1.00,,11-14-2022 13:00:10,
261,MWZVV,SDE,Application Development,Texas,15/04/19,Female,1454541,9898980260,1.00,,04-04-2018 01:31:07,
262,LTFWA,SDET,Testing,Texas,09/08/17,Female,1453306,9898980261,4.00,,08-05-2017 06:43:00,
263,SFKVN,MANAGER,Testing,Pune,24/07/20,Female,1612904,9898980262,5.00,Work From Home,05-27-2013 05:04:17,
264,HBAUS,MANAGER,Application Development,Gurgaon,18/04/15,Male,1965371,9898980263,1.00,Work From Office,03-14-2015 09:16:55,
265,HDMQW,SDET,Development,Texas,21/01/13,Male,1999485,9898980264,5.00,Work From Home,08-16-2014 19:06:11,
266,EQMKC,SDE,Testing,Texas,13/11/11,Male,1436763,9898980265,3.00,Work From Office,04-05-2014 12:37:29,
267,HJZEW,QA,Operations,Banglore,05/01/11,Female,1403869,9898980266,5.00,Work From Home,04-03-2019 03:09:00,
268,SYRCR,SDE,Testing,Banglore,10/03/22,Female,1913801,9898980267,2.00,Work From Home,03-03-2012 23:57:45,
269,GNSDR,SDET,Operations,Delhi,23/01/21,Female,1727062,9898980268,4.00,Work From Office,08-16-2012 01:14:07,
270,FCDUF,TEAM LEAD,Development,Delhi,27/11/19,Male,1346753,9898980269,2.00,Work From Office,04-23-2010 14:11:15,
271,EXMEU,QA,Operations,Banglore,16/11/22,Male,1833348,9898980270,3.00,Work From Office,07-22-2018 16:41:45,
272,ITQUQ,MANAGER,Application Development,Texas,23/04/11,Male,1817968,9898980271,2.00,,05-28-2015 22:15:16,
273,SYAWH,SDE,Operations,Pune,26/11/15,Female,1268339,9898980272,2.00,Work From Office,11-29-2011 02:28:51,
274,VUWNO,TEAM LEAD,Development,Pune,06/06/10,Male,1636324,9898980273,3.00,,11-19-2022 10:19:04,
275,VDMTZ,QA,Development,Gurgaon,22/11/11,Female,1585922,9898980274,1.00,,11-11-2017 06:23:52,
276,BPMXV,MANAGER,Development,Gurgaon,10/06/10,Female,1276378,9898980275,2.00,Work From Home,06-11-2016 17:46:23,
277,CRYGS,TEAM LEAD,Operations,Banglore,24/04/12,Female,1727927,9898980276,1.00,,04-25-2019 11:57:31,
278,UHAVN,TEAM LEAD,Operations,Pune,03/10/22,Male,1967496,9898980277,1.00,,01-04-2021 14:45:29,
279,JLDIE,SDET,Application Development,Pune,30/01/22,Male,1736240,9898980278,1.00,Work From Home,09-12-2018 00:42:45,
280,VOOIC,SDET,Testing,Banglore,29/06/17,Male,1715909,9898980279,1.00,,09-20-2013 02:32:19,
281,VLCBO,MANAGER,Application Development,Banglore,24/03/15,Female,1930857,9898980280,5.00,,04-17-2010 17:51:39,
282,KHBNJ,SDET,Development,Gurgaon,08/09/15,Male,1532575,9898980281,1.00,,12-21-2022 21:09:54,
283,ETAYC,QA,Operations,Banglore,27/09/16,Female,1044918,9898980282,1.00,Work From Home,05-20-2018 07:21:23,
284,NJIRY,TEAM LEAD,Testing,Gurgaon,20/05/14,Female,1133657,9898980283,4.00,,08-03-2013 19:58:46,
285,JLZJW,TEAM LEAD,Development,Delhi,07/09/16,Female,1733502,9898980284,1.00,Work From Office,08-27-2015 00:41:52,
286,DDNSU,SDET,Operations,Pune,03/01/21,Male,1723785,9898980285,5.00,Work From Home,01-12-2013 12:44:59,
287,JRLMZ,MANAGER,Application Development,Pune,11/09/20,Female,1013135,9898980286,1.00,,09-30-2020 01:26:53,
288,BGPMK,SDE,Testing,Banglore,28/05/20,Female,1318840,9898980287,3.00,Work From Office,11-01-2020 03:48:07,
289,USZJN,QA,Operations,Banglore,31/10/12,Female,1625854,9898980288,3.00,Work From Office,06-11-2019 02:32:04,
290,OPAYJ,SDET,Operations,Gurgaon,06/11/13,Female,1387950,9898980289,3.00,Work From Home,02-14-2011 09:23:18,
291,RYNQX,SDE,Development,Banglore,04/10/17,Male,1063602,9898980290,1.00,Work From Home,07-26-2018 21:18:36,
292,KDYQM,SDE,Testing,Texas,10/04/16,Female,1519299,9898980291,5.00,,07-22-2014 18:16:36,
293,WEDAK,TEAM LEAD,Application Development,Texas,25/10/16,Female,1484974,9898980292,5.00,Work From Home,12-05-2015 03:48:17,
294,EGNUL,MANAGER,Testing,Delhi,04/06/15,Male,1667630,9898980293,1.00,,05-17-2011 02:15:19,
295,FUYFQ,QA,Application Development,Texas,28/04/19,Male,1809846,9898980294,4.00,Work From Home,04-07-2015 13:32:23,
296,CBANM,SDET,Development,Pune,29/08/10,Male,1036932,9898980295,3.00,,05-04-2016 12:18:43,
297,HNVVJ,TEAM LEAD,Application Development,Pune,17/03/11,Female,1544658,9898980296,5.00,Work From Home,07-20-2012 01:20:22,
298,XAWNN,TEAM LEAD,Application Development,Banglore,11/09/22,Male,1863961,9898980297,1.00,Work From Home,12-19-2014 06:24:03,
299,OXXFV,MANAGER,Testing,Banglore,10/03/19,Male,1045076,9898980298,4.00,,11-20-2019 10:27:01,
300,DOJIL,QA,Development,Texas,08/05/14,Female,1126810,9898980299,2.00,Work From Office,01-27-2011 23:55:40,
301,DEIGH,QA,Testing,Pune,30/09/22,Male,1545597,9898980300,2.00,Work From Home,06-22-2020 15:58:51,
302,UVZAV,TEAM LEAD,Development,Texas,23/09/13,Female,1088595,9898980301,1.00,Work From Home,03-29-2018 19:59:56,
303,UMTAA,TEAM LEAD,Application Development,Pune,08/08/10,Male,1143244,9898980302,4.00,,05-26-2014 03:32:55,
304,SQYYU,QA,Development,Gurgaon,12/01/21,Male,1013471,9898980303,4.00,Work From Office,11-18-2021 09:38:56,
305,PZNNB,MANAGER,Testing,Texas,28/11/15,Male,1244443,9898980304,3.00,Work From Office,06-03-2015 17:39:44,
306,TKAMW,SDET,Application Development,Delhi,27/09/10,Female,1457469,9898980305,5.00,Work From Home,04-01-2019 17:08:12,
307,UPHLP,QA,Operations,Gurgaon,27/02/20,Male,1258848,9898980306,3.00,Work From Office,02-07-2021 11:09:03,
308,EFWMC,TEAM LEAD,Development,Banglore,22/09/14,Male,1371227,9898980307,2.00,Work From Office,05-23-2010 16:13:08,
309,DEPMN,SDET,Application Development,Pune,13/08/17,Female,1283412,9898980308,5.00,Work From Home,09-19-2018 14:59:07,
310,AHWJZ,SDET,Application Development,Gurgaon,09/10/17,Male,1732429,9898980309,3.00,,11-05-2015 02:13:19,
311,NXDWY,QA,Development,Gurgaon,21/01/19,Male,1300842,9898980310,4.00,Work From Office,07-13-2022 12:27:00,
312,RKSWL,SDE,Operations,Pune,27/02/11,Female,1088558,9898980311,3.00,Work From Office,07-02-2022 03:33:58,
313,KUKSI,TEAM LEAD,Operations,Gurgaon,29/03/19,Female,1491096,9898980312,3.00,Work From Home,08-29-2017 03:14:42,
314,QYZIT,SDE,Operations,Gurgaon,29/01/13,Male,1469374,9898980313,5.00,Work From Office,09-22-2019 11:23:06,
315,GXDBM,TEAM LEAD,Development,Gurgaon,08/09/12,Male,1209502,9898980314,1.00,Work From Home,03-08-2017 01:27:24,
316,TOODC,QA,Development,Gurgaon,20/03/20,Female,1853375,9898980315,2.00,,12-05-2012 07:44:12,
317,VKHQV,TEAM LEAD,Application Development,Texas,20/06/15,Female,1270579,9898980316,4.00,Work From Home,04-05-2013 21:29:07,
318,MNQYZ,MANAGER,Operations,Banglore,10/07/22,Male,1724475,9898980317,5.00,Work From Office,11-15-2015 18:27:43,
319,FTICO,MANAGER,Application Development,Banglore,28/09/10,Male,1050922,9898980318,2.00,,09-07-2021 22:09:40,
320,FZQRK,SDET,Development,Delhi,25/07/12,Female,1663065,9898980319,1.00,Work From Office,03-09-2017 02:05:40,
321,GANZL,MANAGER,Development,Texas,18/05/15,Female,1949587,9898980320,4.00,Work From Home,06-17-2014 11:51:29,
322,YAQFZ,QA,Development,Gurgaon,28/06/22,Male,1128253,9898980321,2.00,Work From Office,03-18-2021 10:32:15,
323,AJYJV,SDE,Development,Texas,06/08/15,Female,1681072,9898980322,1.00,Work From Home,08-09-2010 11:21:02,
324,BVKSV,TEAM LEAD,Operations,Pune,27/08/18,Female,1063748,9898980323,3.00,,11-06-2011 02:54:51,
325,YJZLO,SDET,Testing,Gurgaon,05/01/12,Female,1873805,9898980324,5.00,Work From Home,11-21-2012 13:57:03,
326,NCKPX,QA,Development,Delhi,01/10/15,Male,1954478,9898980325,3.00,Work From Home,11-03-2014 11:21:36,
327,YGWSS,MANAGER,Development,Banglore,10/11/18,Female,1787325,9898980326,4.00,Work From Office,01-07-2014 23:46:07,
328,BYWLU,TEAM LEAD,Development,Banglore,27/03/11,Male,1140980,9898980327,2.00,,04-25-2013 17:49:45,
329,TZOBA,MANAGER,Operations,Gurgaon,01/06/10,Female,1561096,9898980328,1.00,,09-25-2019 21:52:51,
330,SNOGC,SDET,Operations,Pune,15/01/14,Male,1036872,9898980329,5.00,Work From Office,12-30-2018 19:19:08,
331,ZAKUI,QA,Testing,Banglore,03/01/18,Female,1275043,9898980330,1.00,,07-05-2016 06:16:01,
332,TWLYE,QA,Development,Pune,26/09/11,Male,1565252,9898980331,4.00,Work From Home,05-23-2021 20:13:28,
333,JRVUG,QA,Testing,Texas,13/07/19,Male,1243639,9898980332,5.00,Work From Office,08-27-2018 21:46:17,
334,VPCOY,SDE,Application Development,Banglore,22/09/22,Male,1713673,9898980333,4.00,Work From Office,05-05-2021 12:57:17,
335,GRXBG,SDET,Operations,Pune,22/10/20,Female,1681990,9898980334,1.00,,04-04-2021 01:00:59,
336,VLBVC,QA,Development,Pune,21/06/21,Male,1677270,9898980335,3.00,Work From Office,05-14-2010 17:05:02,
337,JGUDH,SDE,Development,Delhi,18/09/21,Female,1319394,9898980336,4.00,Work From Home,11-08-2020 03:25:39,
338,OLZKM,SDET,Development,Pune,18/04/12,Male,1074200,9898980337,4.00,,09-25-2018 02:53:01,
339,RACLO,MANAGER,Operations,Gurgaon,20/04/21,Male,1651474,9898980338,2.00,,02-23-2017 21:56:31,
340,JOZYX,QA,Application Development,Gurgaon,25/02/13,Male,1423187,9898980339,2.00,Work From Office,11-02-2014 02:18:24,
341,GYBYX,SDE,Testing,Texas,17/06/18,Male,1825220,9898980340,4.00,Work From Home,03-08-2011 23:29:40,
342,TMXSZ,SDET,Testing,Delhi,29/05/13,Female,1742681,9898980341,1.00,,11-08-2012 18:20:00,
343,IMBBT,TEAM LEAD,Operations,Banglore,24/09/20,Male,1966129,9898980342,4.00,,08-27-2020 11:00:07,
344,SSKEH,SDET,Operations,Texas,02/10/18,Male,1923030,9898980343,1.00,Work From Office,05-07-2017 13:18:06,
345,IDMSL,SDET,Testing,Delhi,19/10/16,Female,1627879,9898980344,4.00,,05-25-2015 16:29:57,
346,TMOKR,SDET,Application Development,Banglore,29/06/12,Male,1440917,9898980345,5.00,,11-05-2021 12:50:20,
347,EBWKV,SDE,Development,Delhi,25/08/17,Female,1416649,9898980346,5.00,Work From Office,04-06-2021 03:59:23,
348,GOYUM,MANAGER,Application Development,Delhi,16/09/16,Female,1995765,9898980347,2.00,Work From Home,05-01-2015 03:34:25,
349,LSWPS,SDE,Development,Gurgaon,26/07/15,Male,1668253,9898980348,5.00,Work From Home,06-25-2021 18:58:49,
350,SURQE,MANAGER,Development,Banglore,14/02/15,Male,1912008,9898980349,2.00,,02-22-2020 22:10:23,
351,RFLBV,SDE,Operations,Texas,04/09/21,Female,1798168,9898980350,2.00,Work From Office,11-20-2018 08:08:19,
352,NXROL,TEAM LEAD,Operations,Delhi,23/09/18,Male,1669730,9898980351,2.00,Work From Home,11-07-2012 08:57:24,
353,BIBPV,QA,Testing,Delhi,03/06/12,Female,1812810,9898980352,4.00,,03-25-2020 22:24:39,
354,JRNYC,SDET,Operations,Gurgaon,08/03/13,Female,1710889,9898980353,5.00,Work From Office,11-21-2020 21:11:33,
355,OUJKD,TEAM LEAD,Application Development,Texas,24/07/22,Male,1328757,9898980354,3.00,Work From Office,11-23-2016 06:08:45,
356,OCECK,SDET,Development,Texas,29/09/16,Female,1328207,9898980355,2.00,,01-30-2018 12:15:49,
357,QCZIW,SDE,Operations,Banglore,22/01/21,Female,1374944,9898980356,4.00,Work From Home,04-23-2018 09:26:13,
358,KDYBE,QA,Testing,Banglore,10/02/16,Male,1801627,9898980357,3.00,Work From Office,08-25-2017 13:12:34,
359,RRIJZ,TEAM LEAD,Application Development,Delhi,11/04/15,Female,1267511,9898980358,2.00,,07-29-2018 20:14:22,
360,MFCQU,QA,Development,Banglore,24/01/10,Male,1974451,9898980359,3.00,,02-11-2015 14:27:45,
361,ZHNZZ,MANAGER,Application Development,Delhi,14/04/11,Female,1746855,9898980360,1.00,Work From Home,08-05-2021 00:58:45,
362,WHXGD,QA,Operations,Delhi,29/11/10,Female,1809592,9898980361,4.00,Work From Home,04-30-2019 08:02:30,
363,WYZRJ,MANAGER,Testing,Gurgaon,17/01/17,Female,1058883,9898980362,3.00,Work From Office,06-14-2020 13:06:27,
364,XFLBC,MANAGER,Operations,Delhi,06/07/19,Female,1188940,9898980363,1.00,Work From Office,01-18-2020 06:23:52,
365,JWJRD,QA,Operations,Banglore,21/04/18,Female,1654663,9898980364,2.00,Work From Office,06-13-2015 00:31:39,
366,WPCEI,SDET,Application Development,Banglore,18/01/22,Female,1585942,9898980365,1.00,,12-31-2013 14:29:10,
367,QGHDY,QA,Application Development,Texas,29/07/18,Female,1918903,9898980366,4.00,,11-11-2015 09:32:51,
368,YKBYK,SDET,Development,Banglore,10/08/11,Male,1578658,9898980367,2.00,,07-05-2022 23:51:31,
369,SJKNL,QA,Development,Delhi,27/07/19,Female,1885834,9898980368,3.00,Work From Office,02-23-2010 04:37:32,
370,GBCGW,MANAGER,Testing,Banglore,24/02/16,Male,1486098,9898980369,4.00,Work From Office,04-02-2022 23:01:57,
371,MYLXZ,SDET,Operations,Pune,10/08/12,Female,1574944,9898980370,2.00,,06-18-2013 23:06:36,
372,GILIE,SDE,Testing,Pune,23/07/15,Female,1738912,9898980371,2.00,Work From Office,12-30-2012 09:40:32,
373,EOFBF,SDET,Application Development,Pune,29/04/10,Female,1407119,9898980372,3.00,Work From Office,05-19-2020 13:36:06,
374,ECRIV,QA,Operations,Banglore,13/05/22,Male,1627921,9898980373,3.00,,03-23-2022 05:06:29,
375,WXXKH,QA,Testing,Pune,31/10/11,Female,1843362,9898980374,5.00,,11-05-2020 04:22:39,
376,IEAVO,QA,Development,Pune,26/03/20,Female,1283123,9898980375,5.00,,06-11-2012 15:27:43,
377,XHAAF,SDE,Operations,Banglore,23/09/22,Female,1467651,9898980376,1.00,Work From Office,07-25-2014 19:40:28,
378,NMSUR,SDET,Operations,Pune,05/01/14,Female,1755521,9898980377,2.00,Work From Home,11-13-2018 23:33:33,
379,KGDJK,SDET,Testing,Pune,23/04/15,Male,1150055,9898980378,2.00,,08-05-2012 21:16:01,
380,GRIHW,QA,Testing,Delhi,09/11/21,Female,1094684,9898980379,5.00,,12-21-2016 04:00:08,
381,KMIJK,QA,Development,Delhi,11/05/21,Male,1347932,9898980380,5.00,Work From Office,09-15-2013 02:04:50,
382,CAAKC,SDET,Application Development,Texas,13/09/15,Male,1672451,9898980381,3.00,Work From Office,11-02-2020 03:07:53,
383,JBCQP,TEAM LEAD,Application Development,Gurgaon,27/09/16,Male,1239930,9898980382,5.00,Work From Home,03-09-2020 01:43:30,
384,ATIWA,SDE,Application Development,Delhi,26/01/21,Male,1065795,9898980383,1.00,,08-05-2018 14:27:46,
385,JOJTP,SDE,Operations,Gurgaon,29/01/11,Female,1325912,9898980384,1.00,,08-22-2014 21:55:19,
386,ERPRG,SDET,Application Development,Banglore,17/04/14,Female,1752642,9898980385,3.00,Work From Office,09-29-2014 14:15:37,
387,ILWNJ,SDET,Testing,Banglore,07/01/14,Male,1956504,9898980386,4.00,Work From Office,11-20-2020 01:12:21,
388,HWIXS,QA,Development,Texas,11/01/11,Male,1945974,9898980387,2.00,,11-09-2012 17:42:26,
389,JRGGF,QA,Operations,Banglore,05/01/10,Female,1305128,9898980388,1.00,,06-06-2021 05:27:55,
390,MSQEE,SDET,Testing,Gurgaon,12/08/13,Male,1527424,9898980389,1.00,,04-19-2021 21:02:40,
391,AHUPW,SDET,Application Development,Texas,16/08/10,Female,1703934,9898980390,1.00,,08-26-2010 09:26:17,
392,BOFAV,SDE,Operations,Delhi,14/01/15,Male,1853401,9898980391,5.00,,05-02-2021 16:28:29,
393,NWULY,MANAGER,Operations,Delhi,22/09/14,Female,1941069,9898980392,2.00,Work From Office,01-04-2017 21:05:56,
394,EWJNT,QA,Application Development,Texas,24/10/11,Male,1351408,9898980393,2.00,Work From Home,08-26-2010 05:26:27,
395,MNEAH,MANAGER,Development,Pune,21/11/17,Female,1636115,9898980394,5.00,Work From Home,08-25-2017 09:14:57,
396,BDVIT,SDET,Application Development,Delhi,31/10/16,Male,1268094,9898980395,3.00,Work From Office,02-28-2015 15:35:46,
397,DLKWX,TEAM LEAD,Testing,Pune,06/07/17,Male,1741466,9898980396,3.00,Work From Office,12-31-2013 19:38:09,
398,NHSYP,MANAGER,Testing,Delhi,25/05/12,Male,1507269,9898980397,4.00,,07-19-2011 08:20:26,
399,RBVPP,MANAGER,Testing,Delhi,24/08/19,Female,1392116,9898980398,3.00,Work From Office,06-16-2015 06:06:27,
400,TOCEG,SDE,Operations,Pune,19/11/17,Male,1366526,9898980399,3.00,,11-15-2015 09:44:05,
401,DRFOM,SDE,Development,Texas,14/03/21,Male,1772036,9898980400,5.00,,01-11-2021 20:02:47,
402,UBBCL,SDE,Development,Pune,26/08/12,Female,1357993,9898980401,2.00,,09-25-2022 08:55:42,
403,HMNOR,TEAM LEAD,Application Development,Texas,02/06/11,Male,1773056,9898980402,3.00,Work From Office,07-23-2019 22:41:27,
404,QHOBT,TEAM LEAD,Testing,Texas,08/03/16,Male,1685564,9898980403,2.00,Work From Home,05-28-2019 16:10:15,
405,IWRCW,SDET,Operations,Gurgaon,19/04/11,Male,1284831,9898980404,1.00,Work From Home,12-19-2011 01:45:45,
406,HYBFI,TEAM LEAD,Testing,Gurgaon,05/07/10,Female,1953321,9898980405,4.00,,01-17-2021 16:22:53,
407,QHWZJ,SDET,Application Development,Banglore,16/11/13,Male,1271900,9898980406,2.00,,06-20-2014 14:12:51,
408,OOHSR,MANAGER,Development,Pune,28/02/10,Female,1954522,9898980407,4.00,Work From Home,02-20-2011 16:52:19,
409,NCQHF,TEAM LEAD,Operations,Texas,09/06/14,Male,1796386,9898980408,2.00,,12-20-2014 13:54:55,
410,HPRYH,SDE,Application Development,Pune,07/10/10,Male,1477613,9898980409,3.00,,04-16-2018 12:02:32,
411,HRMZJ,SDE,Operations,Gurgaon,24/10/20,Female,1298381,9898980410,2.00,Work From Home,11-04-2014 14:30:27,
412,LOSMV,SDE,Operations,Banglore,12/09/17,Male,1934427,9898980411,3.00,,12-19-2013 18:22:43,
413,NQRPA,TEAM LEAD,Application Development,Texas,27/05/13,Male,1532226,9898980412,4.00,Work From Home,05-13-2014 01:00:03,
414,JQUHE,TEAM LEAD,Application Development,Gurgaon,29/07/17,Female,1145092,9898980413,1.00,Work From Office,04-06-2015 08:12:05,
415,KVHDN,QA,Application Development,Delhi,29/09/13,Male,1834335,9898980414,3.00,Work From Home,11-17-2019 14:50:59,
416,QNZZL,MANAGER,Testing,Texas,27/02/22,Female,1071195,9898980415,1.00,Work From Home,09-16-2019 18:22:34,
417,PQGPR,TEAM LEAD,Development,Banglore,10/08/20,Female,1217535,9898980416,3.00,Work From Office,08-11-2019 22:25:43,
418,NFUTQ,SDE,Development,Gurgaon,09/06/22,Male,1972936,9898980417,5.00,,05-20-2010 06:14:58,
419,ZDVXG,SDET,Operations,Delhi,27/08/10,Male,1486216,9898980418,2.00,Work From Home,04-20-2013 22:53:21,
420,VNJLG,SDET,Application Development,Banglore,05/09/19,Male,1846316,9898980419,3.00,,08-23-2022 20:21:23,
421,NKLFT,MANAGER,Operations,Delhi,20/08/11,Female,1000733,9898980420,1.00,,03-29-2012 04:13:03,
422,TFQQD,SDET,Operations,Delhi,05/10/12,Female,1157822,9898980421,2.00,Work From Office,07-25-2020 22:29:21,
423,BHCII,QA,Operations,Banglore,26/10/22,Female,1220574,9898980422,2.00,Work From Home,09-03-2010 14:12:45,
424,VTLIG,MANAGER,Development,Gurgaon,18/09/14,Female,1888407,9898980423,3.00,Work From Office,09-22-2017 09:31:00,
425,LTCQZ,SDET,Development,Banglore,25/10/19,Male,1661021,9898980424,2.00,Work From Home,05-06-2016 21:42:14,
426,BRTDS,SDET,Testing,Pune,17/09/16,Male,1369172,9898980425,4.00,Work From Home,12-03-2014 02:44:05,
427,TCDTX,QA,Operations,Gurgaon,23/06/15,Female,1309946,9898980426,2.00,,11-01-2016 13:40:48,
428,DYGWS,QA,Operations,Texas,22/03/16,Male,1321775,9898980427,4.00,,03-08-2020 00:14:08,
429,LPKJO,TEAM LEAD,Development,Banglore,23/05/18,Female,1516798,9898980428,1.00,,11-06-2022 00:50:26,
430,IXWBM,TEAM LEAD,Development,Delhi,19/08/16,Female,1233732,9898980429,5.00,Work From Home,07-11-2019 01:11:17,
431,BRPQX,QA,Application Development,Texas,06/10/12,Male,1424233,9898980430,2.00,Work From Home,02-15-2017 21:18:26,
432,MFSCQ,SDET,Development,Delhi,29/01/13,Male,1850545,9898980431,2.00,Work From Office,02-08-2013 15:30:59,
433,IUCIK,TEAM LEAD,Application Development,Delhi,26/05/17,Male,1065932,9898980432,4.00,Work From Home,08-22-2014 12:20:20,
434,PMMTL,SDET,Testing,Delhi,24/09/16,Female,1965427,9898980433,1.00,,07-01-2022 23:02:46,
435,XEISM,QA,Development,Banglore,18/11/19,Male,1999542,9898980434,5.00,Work From Office,11-16-2019 15:00:59,
436,DBMWI,SDET,Testing,Texas,30/09/21,Female,1239279,9898980435,3.00,,05-26-2013 05:17:49,
437,ADTNM,MANAGER,Development,Pune,24/06/21,Female,1836181,9898980436,4.00,Work From Home,01-05-2010 15:49:33,
438,RYRWD,QA,Operations,Texas,28/02/21,Male,1281204,9898980437,4.00,,05-08-2022 14:18:44,
439,KOHVC,TEAM LEAD,Development,Gurgaon,13/01/21,Female,1718091,9898980438,5.00,,11-05-2010 14:27:58,
440,PRWNK,SDET,Application Development,Pune,21/05/19,Male,1358488,9898980439,2.00,,05-08-2010 06:30:15,
441,LFOMJ,SDET,Application Development,Texas,05/07/22,Female,1354123,9898980440,2.00,Work From Home,02-05-2017 06:46:46,
442,LZCXY,TEAM LEAD,Testing,Banglore,04/04/18,Male,1574261,9898980441,5.00,,11-14-2013 09:33:11,
443,LZAZJ,SDE,Testing,Texas,28/04/13,Female,1551719,9898980442,2.00,Work From Office,01-15-2010 13:04:19,
444,CXFGV,SDE,Development,Delhi,15/09/15,Female,1318525,9898980443,3.00,Work From Home,05-17-2022 08:17:45,
445,ZIHWK,SDE,Testing,Delhi,19/09/15,Female,1800677,9898980444,2.00,Work From Office,04-09-2018 00:48:28,
